Record_ID,Name,Name_Variant,Company_Name,Company_Name_Variant,Match_Label,full_ratio,partial_ratio,token_sort_ratio,token_set_ratio,trigram
1653,Crystal Cruz,Cryst@l Cruz,Watkins-Gordon,Watkins-Gordon,Slight Variation,92,92,92,92,0.571
1654,Aaron Allen,A@r0n Allen,"Brown, Hernandez and Phillips","Brown, H3rnand3z and Phillips",Slight Variation,82,82,64,82,0.375
1655,Danielle Martinez,D@nielle M@rtinez,Byrd Ltd,Byrd Ltd,Slight Variation,88,88,82,82,0.5
1656,Erika Martin,Erik@ M@rtin,"Santos, Espinoza and Wilson","Santos, Espinoza and Wilson",Slight Variation,83,83,87,87,0.471
1657,Alexandria Estrada,Alex@ndri@ Estr@d@,Douglas-Weiss,Douglas-W3iss,Slight Variation,78,78,65,65,0.385
1658,Andrew Goodman,Andrew G00dm@n,"Gibbs, Meyer and Novak","Gibbs, M3y3r and Novak",Slight Variation,79,79,79,79,0.364
1659,Gina Bailey,Gin@ B@iley,Adkins-Singleton,Adkins-Singl3ton,Slight Variation,82,82,48,48,0.438
1660,Tiffany Taylor,Tiff@ny T@yl0r,"Wang, Olson and Martinez","Wang, Olson and Martin3z",Slight Variation,79,79,50,50,0.217
1661,Jennifer Reed,Jennifer Reed,"Scott, Thompson and Taylor","Scott, Thompson and Taylor",Slight Variation,100,100,100,100,1.0
1662,Angela Alvarez,Angel@ Alv@rez,Garcia-Coleman,Garcia-Col3man,Slight Variation,86,86,67,67,0.5
1663,Cristian Taylor,Cristi@n T@yl0r,Simmons-Jackson,Simmons-Jackson,Slight Variation,80,80,80,80,0.28
1664,Timothy Bates,Tim0thy B@tes,Salinas-Hart,Salinas-Hart,Slight Variation,85,85,85,85,0.421
1665,Timothy Weaver,Tim0thy We@ver,Adams PLC,Adams PLC,Slight Variation,86,86,71,71,0.429
1666,Amy Miller,Amy Miller,Miles Group,Mil3s Group,Slight Variation,100,100,100,100,1.0
1667,Savannah Mccoy,S@v@nn@h Mcc0y,Howell-Jones,How3ll-Jon3s,Slight Variation,71,71,50,50,0.154
1668,Christie Banks,Christie B@nks,Caldwell-Richards,Caldw3ll-Richards,Slight Variation,93,93,71,93,0.667
1669,George Middleton,Ge0rge Middlet0n,"Oliver, Harper and Wilcox","Oliv3r, Harp3r and Wilcox",Slight Variation,88,88,88,88,0.478
1670,Leslie Franklin,Leslie Fr@nklin,Hall-Roth,Hall-Roth,Slight Variation,93,93,60,93,0.684
1671,Elizabeth Campbell,Eliz@beth C@mpbell,Marquez-Chavez,Marqu3z-Chav3z,Slight Variation,89,89,39,39,0.52
1672,Jennifer Smith,Jennifer Smith,Moody-Valdez,Moody-Vald3z,Slight Variation,100,100,100,100,1.0
1673,Joel Holt,J0el H0lt,Rivera Inc,Riv3ra Inc,Slight Variation,78,78,78,78,0.25
1674,Jeremy Sanders,Jeremy S@nders,"Massey, Miller and Dawson","Mass3y, Mill3r and Dawson",Slight Variation,93,93,86,86,0.667
1675,David Johnston,D@vid J0hnst0n,"Johnson, Barrett and Anderson","Johnson, Barr3tt and And3rson",Slight Variation,79,79,57,57,0.25
1676,Ronald Wilson,R0n@ld Wils0n,"Peterson, Garcia and Robinson","P3t3rson, Garcia and Robinson",Slight Variation,77,77,62,62,0.286
1677,Nichole Dawson,Nich0le D@ws0n,Bennett PLC,B3nn3tt PLC,Slight Variation,79,79,57,57,0.25
1678,John Ross,J0hn R0ss,Peck-Smith,P3ck-Smith,Slight Variation,78,78,78,78,0.25
1679,Ashley Robinson,Ashley R0bins0n,Russell-Walters,Russ3ll-Walt3rs,Slight Variation,87,87,87,87,0.455
1680,Luke Deleon,Luke Dele0n,"Carter, Wilkins and Hammond","Cart3r, Wilkins and Hammond",Slight Variation,91,91,91,91,0.6
1681,Alicia Bowen,Alici@ B0wen,Mitchell Group,Mitch3ll Group,Slight Variation,83,83,87,87,0.471
1682,Sarah Wilkins,S@r@h Wilkins,Roberts Ltd,Rob3rts Ltd,Slight Variation,85,85,69,70,0.474
1683,William Walker,Willi@m W@lker,"Larson, Allen and Parker","Larson, All3n and Park3r",Slight Variation,86,86,71,71,0.4
1684,Allison Newton,Allis0n Newt0n,Clarke LLC,Clark3 LLC,Slight Variation,86,86,86,86,0.474
1685,Adam Hunter,Ad@m Hunter,"Rivera, Blankenship and Garza","Riv3ra, Blank3nship and Garza",Slight Variation,91,91,82,91,0.6
1686,Jacob Miller,J@c0b Miller,Snow-Watkins,Snow-Watkins,Slight Variation,83,83,67,67,0.444
1687,Samuel Black,S@muel Bl@ck,Payne-Murphy,Payn3-Murphy,Slight Variation,83,83,75,75,0.368
1688,Jennifer Douglas,Jennifer D0ugl@s,Reilly Inc,R3illy Inc,Slight Variation,88,88,81,88,0.478
1689,Geoffrey Woods,Ge0ffrey W00ds,Clarke-Nash,Clark3-Nash,Slight Variation,79,79,79,79,0.364
1690,Heather Ramirez,He@ther R@mirez,Ellis Ltd,Ellis Ltd,Slight Variation,87,87,53,53,0.455
1691,Jeff White,Jeff White,"Brewer, Young and Nguyen","Br3w3r, Young and Nguy3n",Slight Variation,100,100,100,100,1.0
1692,Jessica Curtis,Jessic@ Curtis,Wagner-Tyler,Wagn3r-Tyl3r,Slight Variation,93,93,96,96,0.812
1693,Philip Phelps,Philip Phelps,Woods-Benson,Woods-B3nson,Slight Variation,100,100,100,100,1.0
1694,David Landry,D@vid L@ndry,Mercer-Carter,M3rc3r-Cart3r,Slight Variation,83,83,58,58,0.368
1695,Jessica Rowe,Jessic@ R0we,Ruiz-Carroll,Ruiz-Carroll,Slight Variation,83,83,87,87,0.471
1696,Joseph Hunt,J0seph Hunt,Goodman-Norris,Goodman-Norris,Slight Variation,91,91,91,91,0.6
1697,Bianca Webster,Bi@nc@ Webster,Gates-Harris,Gat3s-Harris,Slight Variation,86,86,89,89,0.526
1698,Logan Manning,L0g@n M@nning,Williams Ltd,Williams Ltd,Slight Variation,77,77,69,69,0.286
1699,Ashley Brown,Ashley Br0wn,Stafford-Johnson,Stafford-Johnson,Slight Variation,92,92,92,92,0.625
1700,Evelyn Collins,Evelyn C0llins,Johnson PLC,Johnson PLC,Slight Variation,93,93,93,93,0.667
1701,Nicole Henry,Nic0le Henry,"Castillo, Phillips and Johnson","Castillo, Phillips and Johnson",Slight Variation,92,92,92,92,0.625
1702,Joel Norris,J0el N0rris,Smith Group,Smith Group,Slight Variation,82,82,82,82,0.333
1703,Kristopher Cochran,Krist0pher C0chr@n,French-Thornton,Fr3nch-Thornton,Slight Variation,83,83,78,78,0.357
1704,Craig Ho,Cr@ig H0,George Inc,G3org3 Inc,Slight Variation,75,75,50,50,0.286
1705,Stephanie Riley,Steph@nie Riley,Hall-Montes,Hall-Mont3s,Slight Variation,93,93,73,73,0.684
1706,Brian Horn,Bri@n H0rn,"Collins, Hutchinson and Beard","Collins, Hutchinson and B3ard",Slight Variation,80,80,60,60,0.294
1707,Melissa Robbins,Meliss@ R0bbins,Lewis-Mcclain,L3wis-Mcclain,Slight Variation,87,87,90,90,0.55
1708,Patricia Fernandez,P@trici@ Fern@ndez,"Morrison, Miller and Jennings","Morrison, Mill3r and J3nnings",Slight Variation,83,83,86,86,0.423
1709,Mindy Alvarez,Mindy Alv@rez,"Davis, Washington and Flynn","Davis, Washington and Flynn",Slight Variation,92,92,69,92,0.647
1710,Sandra Meyers,S@ndr@ Meyers,"Baker, Bean and West","Bak3r, B3an and W3st",Slight Variation,85,85,80,80,0.5
1711,Karen Carroll,K@ren C@rr0ll,Spencer-Griffin,Sp3nc3r-Griffin,Slight Variation,77,77,46,46,0.227
1712,Christopher Morris,Christ0pher M0rris,Morales-Compton,Moral3s-Compton,Slight Variation,89,89,89,89,0.5
1713,Stacy Huerta,St@cy Huert@,Williams-Willis,Williams-Willis,Slight Variation,83,83,70,70,0.471
1714,Mike Ochoa,Mike Och0@,Pierce Group,Pi3rc3 Group,Slight Variation,80,80,84,84,0.615
1715,Adam Le,Ad@m Le,Gamble-Tucker,Gambl3-Tuck3r,Slight Variation,86,86,71,86,0.455
1716,Lindsey Knight,Lindsey Knight,Flores PLC,Flor3s PLC,Slight Variation,100,100,100,100,1.0
1717,Anthony Perez,Anth0ny Perez,Mills PLC,Mills PLC,Slight Variation,92,92,92,92,0.647
1718,Lori Rogers,L0ri R0gers,Jordan-Love,Jordan-Lov3,Slight Variation,82,82,82,82,0.333
1719,Maria Robinson,M@ri@ R0bins0n,Blair Ltd,Blair Ltd,Slight Variation,71,71,59,59,0.167
1720,April Banks,April B@nks,Joseph Ltd,Jos3ph Ltd,Slight Variation,91,91,91,91,0.6
1721,Abigail Henderson,Abig@il Henders0n,Miller-Young,Mill3r-Young,Slight Variation,88,88,76,76,0.5
1722,Deborah Kennedy,Deb0r@h Kennedy,Lee-Ferguson,L33-F3rguson,Slight Variation,87,87,87,87,0.524
1723,Keith Christensen,Keith Christensen,Powell Group,Pow3ll Group,Slight Variation,100,100,100,100,1.0
1724,Adriana Gonzalez,Adri@n@ G0nz@lez,"Garza, Rodgers and Williams","Garza, Rodg3rs and Williams",Slight Variation,75,75,71,71,0.269
1725,Dennis Santos,Dennis S@nt0s,Stanton Inc,Stanton Inc,Slight Variation,85,85,77,77,0.4
1726,Jeff Mann,Jeff M@nn,Simmons LLC,Simmons LLC,Slight Variation,89,89,89,89,0.538
1727,Nicole Perez,Nic0le Perez,"West, Smith and Patton","W3st, Smith and Patton",Slight Variation,92,92,92,92,0.625
1728,Erica Thompson,Eric@ Th0mps0n,Vaughn Ltd,Vaughn Ltd,Slight Variation,79,79,81,81,0.318
1729,Chelsey Taylor,Chelsey T@yl0r,Ford-Morris,Ford-Morris,Slight Variation,86,86,86,86,0.429
1730,Mary Baker,M@ry B@ker,Washington-Cortez,Washington-Cort3z,Slight Variation,80,80,80,80,0.294
1731,Alicia Merritt,Alici@ Merritt,"Grimes, Turner and White","Grim3s, Turn3r and Whit3",Slight Variation,93,93,96,96,0.812
1732,Ana Wagner,An@ W@gner,Jones-Schneider,Jon3s-Schn3id3r,Slight Variation,80,80,74,74,0.4
1733,Stephen Mendoza,Stephen Mend0z@,"Steele, French and Baker","St33l3, Fr3nch and Bak3r",Slight Variation,87,87,90,90,0.632
1734,Jason Thornton,J@s0n Th0rnt0n,Rollins-Davis,Rollins-Davis,Slight Variation,71,71,71,71,0.167
1735,Heather Smith,He@ther Smith,Williamson-Mcgrath,Williamson-Mcgrath,Slight Variation,92,92,62,92,0.647
1736,Angelica Lyons,Angelic@ Ly0ns,Harris-Waters,Harris-Wat3rs,Slight Variation,86,86,89,89,0.526
1737,Nicole Delacruz,Nic0le Del@cruz,Smith and Sons,Smith and Sons,Slight Variation,87,87,67,67,0.455
1738,Jason Miranda,J@s0n Mir@nd@,"Mueller, Brown and Crawford","Mu3ll3r, Brown and Crawford",Slight Variation,69,69,56,56,0.174
1739,Angela Montgomery,Angel@ M0ntg0mery,Rice-Tran,Ric3-Tran,Slight Variation,82,82,85,85,0.4
1740,Jeffery Kane,Jeffery K@ne,Mitchell Ltd,Mitch3ll Ltd,Slight Variation,92,92,92,92,0.625
1741,Leah Chavez,Le@h Ch@vez,"Bennett, Oneal and Cook","B3nn3tt, On3al and Cook",Slight Variation,82,82,45,45,0.333
1742,Tammy Keith,T@mmy Keith,Murphy-Murphy,Murphy-Murphy,Slight Variation,91,91,82,82,0.6
1743,Joshua Patel,J0shu@ P@tel,"Patel, Atkins and Lyons","Pat3l, Atkins and Lyons",Slight Variation,75,75,78,78,0.25
1744,Alison Ball,Alis0n B@ll,"Christian, Romero and Maddox","Christian, Rom3ro and Maddox",Slight Variation,82,82,82,82,0.333
1745,Jamie Martinez,J@mie M@rtinez,Ware and Sons,War3 and Sons,Slight Variation,86,86,79,79,0.45
1746,David Cervantes,D@vid Cerv@ntes,"Le, White and Hood","L3, Whit3 and Hood",Slight Variation,87,87,80,80,0.455
1747,Nicole Morgan,Nic0le M0rg@n,Pace-Price,Pac3-Pric3,Slight Variation,77,77,77,77,0.227
1748,Michael Valenzuela,Mich@el V@lenzuel@,"Mccarthy, Davenport and Barrett","Mccarthy, Dav3nport and Barr3tt",Slight Variation,83,83,57,57,0.44
1749,Jenny Franco,Jenny Fr@nc0,"Johnson, Romero and Lee","Johnson, Rom3ro and L33",Slight Variation,83,83,67,83,0.444
1750,Jodi Hernandez,J0di Hern@ndez,"Wright, Hanson and Cherry","Wright, Hanson and Ch3rry",Slight Variation,86,86,57,57,0.429
1751,Jacqueline Hall,J@cqueline H@ll,James Inc,Jam3s Inc,Slight Variation,87,87,53,53,0.455
1752,Kevin Gilmore,Kevin Gilm0re,Mason LLC,Mason LLC,Slight Variation,92,92,92,92,0.647
1753,Kyle Durham,Kyle Durh@m,Owens-Shelton,Ow3ns-Sh3lton,Slight Variation,91,91,82,91,0.6
1754,Sarah Nguyen,S@r@h Nguyen,"Rhodes, Roberts and Johnson","Rhod3s, Rob3rts and Johnson",Slight Variation,83,83,67,67,0.444
1755,Hannah Patton,H@nn@h P@tt0n,Yates-Smith,Yat3s-Smith,Slight Variation,69,69,62,67,0.083
1756,Ronald Mcknight,R0n@ld Mcknight,Hughes-Smith,Hugh3s-Smith,Slight Variation,87,87,73,73,0.524
1757,Tiffany Green,Tiff@ny Green,Henry PLC,H3nry PLC,Slight Variation,92,92,77,77,0.647
1758,Adam Young,Ad@m Y0ung,"Fitzgerald, Kaiser and Green","Fitzg3rald, Kais3r and Gr33n",Slight Variation,80,80,80,80,0.294
1759,Brittany Garcia,Britt@ny G@rci@,Martinez Group,Martin3z Group,Slight Variation,80,80,76,76,0.348
1760,Samantha Spence,S@m@nth@ Spence,"Adams, Rogers and Thomas","Adams, Rog3rs and Thomas",Slight Variation,80,80,76,76,0.381
1761,Nicholas Hopkins,Nich0l@s H0pkins,"Washington, Ramirez and Johnson","Washington, Ramir3z and Johnson",Slight Variation,81,81,81,81,0.36
1762,Ralph Bond,R@lph B0nd,"Johnson, Horton and Wright","Johnson, Horton and Wright",Slight Variation,80,80,70,70,0.294
1763,Andrew Webb,Andrew Webb,Williams-Gutierrez,Williams-Guti3rr3z,Slight Variation,100,100,100,100,1.0
1764,Thomas Jordan,Th0m@s J0rd@n,Vega-Lewis,V3ga-L3wis,Slight Variation,69,69,62,62,0.12
1765,Nancy George,N@ncy Ge0rge,Davidson and Sons,Davidson and Sons,Slight Variation,83,83,83,83,0.389
1766,Rebecca Adams,Rebecc@ Ad@ms,"Morales, Waller and Porter","Moral3s, Wall3r and Port3r",Slight Variation,85,85,88,88,0.5
1767,Christopher Martinez,Christ0pher M@rtinez,"Hughes, Sanders and Stafford","Hugh3s, Sand3rs and Stafford",Slight Variation,90,90,90,90,0.556
1768,Robin Vega,R0bin Veg@,Campbell-Moore,Campb3ll-Moor3,Slight Variation,80,80,84,84,0.4
1769,Justin Cole,Justin C0le,Vega-Jones,V3ga-Jon3s,Slight Variation,91,91,91,91,0.6
1770,Karla Mccarthy,K@rl@ Mcc@rthy,"Ferguson, Cole and Sullivan","F3rguson, Col3 and Sullivan",Slight Variation,79,79,67,67,0.333
1771,Phillip Allen,Phillip Allen,"Williams, Norton and Williams","Williams, Norton and Williams",Slight Variation,100,100,100,100,1.0
1772,Elizabeth Williams,Eliz@beth Willi@ms,Woods PLC,Woods PLC,Slight Variation,89,89,56,56,0.52
1773,Joshua Bowers,J0shu@ B0wers,Burns-Mitchell,Burns-Mitch3ll,Slight Variation,77,77,80,80,0.286
1774,Victor Fry,Vict0r Fry,"Morgan, Rocha and Garcia","Morgan, Rocha and Garcia",Slight Variation,90,90,90,90,0.571
1775,Joanna Garcia,J0@nn@ G@rci@,Taylor LLC,Taylor LLC,Slight Variation,62,62,33,33,0.13
1776,Ashley Anderson,Ashley Anders0n,Fleming Ltd,Fl3ming Ltd,Slight Variation,93,93,93,93,0.667
1777,Daniel Brown,D@niel Br0wn,Rodriguez-Galloway,Rodrigu3z-Galloway,Slight Variation,83,83,83,83,0.368
1778,Jason Mills,J@s0n Mills,"Vazquez, Johnson and Walsh","Vazqu3z, Johnson and Walsh",Slight Variation,82,82,64,82,0.412
1779,Victor Lozano,Vict0r L0z@n0,Maldonado-Evans,Maldonado-Evans,Slight Variation,69,69,69,69,0.217
1780,Matthew Mccormick,M@tthew Mcc0rmick,Lawson PLC,Lawson PLC,Slight Variation,88,88,35,35,0.478
1781,Matthew Williams,M@tthew Willi@ms,Tran Group,Tran Group,Slight Variation,88,88,75,75,0.5
1782,Matthew Johnson,M@tthew J0hns0n,"Rivera, Lee and Byrd","Riv3ra, L33 and Byrd",Slight Variation,80,80,80,80,0.28
1783,Carrie Morris,C@rrie M0rris,"Riggs, Sullivan and Rodriguez","Riggs, Sullivan and Rodrigu3z",Slight Variation,85,85,38,38,0.368
1784,Richard Stout,Rich@rd St0ut,Oliver-Campbell,Oliv3r-Campb3ll,Slight Variation,85,85,69,69,0.421
1785,Shawn Smith,Sh@wn Smith,"Williams, Chavez and Wilson","Williams, Chav3z and Wilson",Slight Variation,91,91,73,91,0.571
1786,Lucas Lara,Luc@s L@r@,Carter Ltd,Cart3r Ltd,Slight Variation,70,70,63,63,0.188
1787,Rebecca Molina,Rebecc@ M0lin@,"White, Pope and Scott","Whit3, Pop3 and Scott",Slight Variation,79,79,85,85,0.4
1788,Sara Craig,S@r@ Cr@ig,Rice LLC,Ric3 LLC,Slight Variation,70,70,63,63,0.235
1789,Paige Cortez,P@ige C0rtez,Lopez Ltd,Lop3z Ltd,Slight Variation,83,83,75,75,0.368
1790,Sandra Johnson,S@ndr@ J0hns0n,Garcia-Smith,Garcia-Smith,Slight Variation,71,71,67,67,0.16
1791,Christopher Mcconnell,Christ0pher Mcc0nnell,Castaneda-Choi,Castan3da-Choi,Slight Variation,90,90,90,90,0.571
1792,Dawn Newton,D@wn Newt0n,"Gonzalez, Hickman and Morris","Gonzal3z, Hickman and Morris",Slight Variation,82,82,64,64,0.333
1793,Ryan Davis,Ry@n D@vis,"Weiss, Davidson and Green","W3iss, Davidson and Gr33n",Slight Variation,80,80,40,40,0.294
1794,Barbara Knight,B@rb@r@ Knight,Hoover LLC,Hoov3r LLC,Slight Variation,79,79,59,74,0.421
1795,Kelly Owens,Kelly Owens,Rogers Ltd,Rog3rs Ltd,Slight Variation,100,100,100,100,1.0
1796,Connie Walker,C0nnie W@lker,Doyle and Sons,Doyl3 and Sons,Slight Variation,85,85,77,77,0.4
1797,Austin Mcintyre,Austin Mcintyre,Hall-Johnson,Hall-Johnson,Slight Variation,100,100,100,100,1.0
1798,Kimberly Hutchinson,Kimberly Hutchins0n,Davidson-Bell,Davidson-B3ll,Slight Variation,95,95,95,95,0.739
1799,Andrew Williams,Andrew Willi@ms,"Willis, Rogers and Scott","Willis, Rog3rs and Scott",Slight Variation,93,93,80,80,0.684
1800,Christopher Peck,Christ0pher Peck,Velasquez LLC,V3lasqu3z LLC,Slight Variation,94,94,94,94,0.7
1801,Colleen Rice,C0lleen Rice,Alvarado Ltd,Alvarado Ltd,Slight Variation,92,92,92,92,0.625
1802,Tonya Clark,T0ny@ Cl@rk,Graham-Dixon,Graham-Dixon,Slight Variation,73,73,76,76,0.211
1803,Dale Erickson,D@le Ericks0n,"Kerr, Henderson and Johnson","K3rr, H3nd3rson and Johnson",Slight Variation,85,85,69,69,0.4
1804,Gabriel Gentry,G@briel Gentry,Spencer and Sons,Sp3nc3r and Sons,Slight Variation,93,93,86,86,0.647
1805,Jamie Dorsey,J@mie D0rsey,Chapman-Wheeler,Chapman-Wh33l3r,Slight Variation,83,83,83,83,0.368
1806,Rebecca Davis,Rebecc@ D@vis,"Schmidt, Castro and Mcmahon","Schmidt, Castro and Mcmahon",Slight Variation,85,85,64,64,0.5
1807,Keith Day,Keith D@y,"Larsen, Lawson and Crawford","Lars3n, Lawson and Crawford",Slight Variation,89,89,78,89,0.538
1808,Christy Rivera,Christy River@,Kelly-Robinson,K3lly-Robinson,Slight Variation,93,93,96,96,0.812
1809,Kevin Adams,Kevin Ad@ms,Williams Group,Williams Group,Slight Variation,91,91,73,91,0.6
1810,Richard Gordon,Rich@rd G0rd0n,Nelson-Short,N3lson-Short,Slight Variation,79,79,64,64,0.261
1811,Jessica Wagner,Jessic@ W@gner,"Porter, Brewer and Vargas","Port3r, Br3w3r and Vargas",Slight Variation,86,86,59,59,0.526
1812,Michelle Griffin,Michelle Griffin,Hughes-Barrera,Hugh3s-Barr3ra,Slight Variation,100,100,100,100,1.0
1813,Alexander Johnson,Alex@nder J0hns0n,George PLC,G3org3 PLC,Slight Variation,82,82,47,47,0.333
1814,Hannah Haas,H@nn@h H@@s,Nelson LLC,N3lson LLC,Slight Variation,64,64,48,47,0.062
1815,Patrick Reynolds,P@trick Reyn0lds,"Martin, Lane and Graham","Martin, Lan3 and Graham",Slight Variation,88,88,38,38,0.478
1816,Preston Hanson,Prest0n H@ns0n,"Bennett, Martin and Gardner","B3nn3tt, Martin and Gardn3r",Slight Variation,79,79,79,79,0.273
1817,Brandon Hernandez,Br@nd0n Hern@ndez,Conner and Sons,Conn3r and Sons,Slight Variation,82,82,65,65,0.375
1818,William Bowen,Willi@m B0wen,"Harris, Moreno and Armstrong","Harris, Mor3no and Armstrong",Slight Variation,85,85,77,77,0.4
1819,Jesus Ho,Jesus H0,Figueroa-Brooks,Figu3roa-Brooks,Slight Variation,88,88,88,88,0.636
1820,Jesse Griffin,Jesse Griffin,Wright-Smith,Wright-Smith,Slight Variation,100,100,100,100,1.0
1821,Dennis Navarro,Dennis N@v@rr0,Campbell LLC,Campb3ll LLC,Slight Variation,79,79,71,71,0.364
1822,Justin Robinson,Justin R0bins0n,Curtis LLC,Curtis LLC,Slight Variation,87,87,87,87,0.455
1823,Susan Nguyen,Sus@n Nguyen,Garrett Group,Garr3tt Group,Slight Variation,92,92,83,83,0.667
1824,Clarence Martin,Cl@rence M@rtin,Peterson-Harvey,P3t3rson-Harv3y,Slight Variation,87,87,80,80,0.476
1825,Christian Phillips,Christi@n Phillips,Walsh-Watkins,Walsh-Watkins,Slight Variation,94,94,94,94,0.727
1826,Ronald Davis,R0n@ld D@vis,Jones-Sandoval,Jon3s-Sandoval,Slight Variation,75,75,33,33,0.238
1827,Brian Roberts,Bri@n R0berts,"Hutchinson, Bell and Moses","Hutchinson, B3ll and Mos3s",Slight Variation,85,85,85,85,0.4
1828,Lorraine Fernandez,L0rr@ine Fern@ndez,Bryant-Mccullough,Bryant-Mccullough,Slight Variation,83,83,44,44,0.357
1829,Madison Mathews,M@dis0n M@thews,"Vance, Frey and Collier","Vanc3, Fr3y and Colli3r",Slight Variation,80,80,73,79,0.273
1830,Ricardo Gutierrez,Ric@rd0 Gutierrez,Weaver-Tanner,W3av3r-Tann3r,Slight Variation,88,88,76,76,0.591
1831,Jennifer Buchanan,Jennifer Buch@n@n,Ellis-Burke,Ellis-Burk3,Slight Variation,88,88,76,88,0.619
1832,Kylie Norman,Kylie N0rm@n,"Rhodes, Braun and Peterson","Rhod3s, Braun and P3t3rson",Slight Variation,83,83,75,75,0.389
1833,Linda Mcintyre,Lind@ Mcintyre,"Smith, Bailey and Lee","Smith, Bail3y and L33",Slight Variation,93,93,96,96,0.812
1834,Lindsey Hensley,Lindsey Hensley,Castro-Moore,Castro-Moor3,Slight Variation,100,100,100,100,1.0
1835,Brett Perry,Brett Perry,Wright-Carter,Wright-Cart3r,Slight Variation,100,100,100,100,1.0
1836,Christopher Mccormick,Christ0pher Mcc0rmick,"Moon, Turner and Mueller","Moon, Turn3r and Mu3ll3r",Slight Variation,90,90,90,90,0.571
1837,Debra Rodriguez,Debr@ R0driguez,"Reed, Martin and Anderson","R33d, Martin and And3rson",Slight Variation,87,87,90,90,0.55
1838,Haley Pugh,H@ley Pugh,Perez and Sons,P3r3z and Sons,Slight Variation,90,90,90,90,0.571
1839,Lori Wallace,L0ri W@ll@ce,"Hammond, Jackson and Thomas","Hammond, Jackson and Thomas",Slight Variation,75,75,50,50,0.19
1840,Pamela Flores,P@mel@ Fl0res,Brown-Hamilton,Brown-Hamilton,Slight Variation,77,77,72,72,0.286
1841,Benjamin Foster,Benj@min F0ster,"Davis, Jones and Davis","Davis, Jon3s and Davis",Slight Variation,87,87,67,67,0.455
1842,Edward Fields,Edw@rd Fields,King-Haney,King-Han3y,Slight Variation,92,92,77,92,0.647
1843,Michael Evans,Mich@el Ev@ns,Reyes Inc,R3y3s Inc,Slight Variation,85,85,54,54,0.421
1844,Tyler Hill,Tyler Hill,Wise PLC,Wis3 PLC,Slight Variation,100,100,100,100,1.0
1845,Janet Garza,J@net G@rz@,Reyes-Hughes,R3y3s-Hugh3s,Slight Variation,73,73,57,57,0.211
1846,Sarah Young,S@r@h Y0ung,Padilla PLC,Padilla PLC,Slight Variation,73,73,55,55,0.2
1847,Alexander Glenn,Alex@nder Glenn,Solomon LLC,Solomon LLC,Slight Variation,93,93,67,93,0.684
1848,Alexis Moore,Alexis M00re,Sandoval-Sanchez,Sandoval-Sanch3z,Slight Variation,83,83,83,83,0.529
1849,James Sullivan,J@mes Sulliv@n,Jones-Cole,Jon3s-Col3,Slight Variation,86,86,79,79,0.429
1850,Tyler Jordan,Tyler J0rd@n,Smith and Sons,Smith and Sons,Slight Variation,83,83,83,83,0.368
1851,Barbara Deleon,B@rb@r@ Dele0n,Dalton Ltd,Dalton Ltd,Slight Variation,71,71,52,52,0.227
1852,Ruben Rodriguez,Ruben R0driguez,Wilkins-Young,Wilkins-Young,Slight Variation,93,93,93,93,0.667
1853,Christopher Mitchell,Christ0pher Mitchell,Tran PLC,Tran PLC,Slight Variation,95,95,95,95,0.75
1854,Tracy Fletcher,Tr@cy Fletcher,Wang-Gallegos,Wang-Gall3gos,Slight Variation,93,93,79,79,0.667
1855,Jennifer Watkins,Jennifer W@tkins,George PLC,G3org3 PLC,Slight Variation,94,94,88,88,0.7
1856,Zachary Davis,Z@ch@ry D@vis,"Bennett, Williams and Espinoza","B3nn3tt, Williams and Espinoza",Slight Variation,77,77,46,46,0.217
1857,Christopher Erickson,Christ0pher Ericks0n,Parks-Key,Parks-K3y,Slight Variation,90,90,90,90,0.556
1858,Samantha Gardner,S@m@nth@ G@rdner,"Alvarez, Watkins and Hayes","Alvar3z, Watkins and Hay3s",Slight Variation,75,75,52,52,0.269
1859,Jennifer Olson,Jennifer Ols0n,Gaines LLC,Gain3s LLC,Slight Variation,93,93,93,93,0.667
1860,Shelby Gilbert,Shelby Gilbert,Kennedy-Dennis,K3nn3dy-D3nnis,Slight Variation,100,100,100,100,1.0
1861,Rachael White,R@ch@el White,Bell-Carter,B3ll-Cart3r,Slight Variation,85,85,77,77,0.4
1862,Matthew Jones,M@tthew J0nes,Thomas PLC,Thomas PLC,Slight Variation,85,85,85,85,0.4
1863,Gabriel Gallegos,G@briel G@lleg0s,Farmer-Smith,Farm3r-Smith,Slight Variation,81,81,75,80,0.304
1864,John Allen,J0hn Allen,Rivers-Porter,Riv3rs-Port3r,Slight Variation,90,90,90,90,0.571
1865,Jennifer Walker,Jennifer W@lker,Watkins PLC,Watkins PLC,Slight Variation,93,93,87,87,0.667
1866,Cynthia Martin,Cynthi@ M@rtin,Meyer LLC,M3y3r LLC,Slight Variation,86,86,89,89,0.526
1867,Christine Johnson,Christine J0hns0n,Lee-Price,L33-Pric3,Slight Variation,88,88,88,88,0.5
1868,Michael Rivera,Mich@el River@,Baker-Patel,Bak3r-Pat3l,Slight Variation,86,86,74,74,0.526
1869,Jerome Mcclain,Jer0me Mccl@in,Park and Sons,Park and Sons,Slight Variation,86,86,71,71,0.429
1870,Jeremy Robinson,Jeremy R0bins0n,Tran-Wong,Tran-Wong,Slight Variation,87,87,87,87,0.455
1871,James Perkins,J@mes Perkins,Welch-Diaz,W3lch-Diaz,Slight Variation,92,92,92,92,0.647
